Vehicle_ID,Route_Distance_m,Route_Time_s,Stop_Order,Location_Name,Location_ID,Location_Lon,Location_Lat,Location_Type,Load,Cumulative_Load
1,0,0,1,test15,70HV,126.91992367017662,37.46785683139494,waypoint,2,2
1,4946,1087,2,test27,C6HP,126.94097799303148,37.48391177905407,waypoint,3,5
1,10136,2736,3,test2,55GJ,126.9839054,37.48016094,waypoint,8,13
1,17272,3731,4,test8,PRYF,127.0025914,37.44229466,waypoint,5,18
1,26464,5849,5,Depot,1,127.0311799,37.49156405,depot,0,18
2,0,0,1,test25,FBVU,127.1948274880341,37.56075584682557,waypoint,1,1
2,7509,1132,2,test20,QD80,127.13087441102778,37.53798209637331,waypoint,3,4
2,14315,2959,3,test6,7T2J,127.071468,37.53881669,waypoint,1,5
2,16852,3905,4,test33,EADH,127.05365878414938,37.54479254688022,waypoint,2,7
2,21264,4690,5,test24,DLS7,127.05012010192668,37.51864043159391,waypoint,1,8
2,23586,5235,6,test10,6N0B,127.0516168,37.50392094,waypoint,4,12
2,26246,5931,7,Depot,1,127.0311799,37.49156405,depot,0,12
3,0,0,1,test18,3NMY,127.0696312101664,37.57106619951212,waypoint,1,1
3,2466,553,2,test13,ADTK,127.05324957647792,37.57789739298644,waypoint,2,3
3,5697,1543,3,test29,KXHS,127.02916686443832,37.56555728578634,waypoint,1,4
3,7615,2155,4,test12,BTAI,127.01109788544876,37.565911201549966,waypoint,4,8
3,14750,3414,5,test1,C3X9,127.02465943729884,37.5180201084732,waypoint,3,11
3,17516,3943,6,test26,K4TM,127.03483477751116,37.50031736127036,waypoint,2,13
3,21181,4572,7,test22,CAZU,126.99608765842868,37.48855909470275,waypoint,2,15
3,24083,5468,8,test32,X5IH,127.0154327144694,37.48613070987372,waypoint,1,16
3,26524,6223,9,Depot,1,127.0311799,37.49156405,depot,0,16
4,0,0,1,test23,M2LZ,126.91571024516736,37.55216279619192,waypoint,1,1
4,3606,717,2,test11,O1XY,126.92329789837204,37.57020705796096,waypoint,4,5
4,10361,1986,3,test31,3JNT,126.98086335612118,37.57580268684492,waypoint,2,7
4,13514,2890,4,test28,57F8,126.97090122586542,37.55455324152854,waypoint,2,9
4,15756,3298,5,test30,0GE1,126.9822240183276,37.5466804895005,waypoint,2,11
4,21588,4315,6,test3,P5GU,127.00508752090197,37.506397817197154,waypoint,2,13
4,26570,5821,7,Depot,1,127.0311799,37.49156405,depot,0,13
5,0,0,1,test16,WD3U,127.13291735765632,37.44493325882566,waypoint,2,2
5,6781,1654,2,test35,141H,127.1310654428625,37.492294932160064,waypoint,1,3
5,9457,2236,3,test21,7JWX,127.11678305507805,37.49800379513201,waypoint,1,4
5,12902,2952,4,test7,Q72D,127.1141843,37.51611001,waypoint,3,7
5,16826,3896,5,test5,J43P,127.0830855,37.50467033,waypoint,7,14
5,22906,5232,6,test9,YGIB,127.05076968938285,37.47958149046325,waypoint,5,19
5,26444,6196,7,Depot,1,127.0311799,37.49156405,depot,0,19
6,0,0,1,test14,9V7L,126.85976441977316,37.52031827948248,waypoint,2,2
6,4618,1421,2,test17,DXMV,126.90324481490325,37.51993003193721,waypoint,2,4
6,7975,2137,3,test34,5ON7,126.92133438460326,37.50432514511593,waypoint,1,5
6,14010,3161,4,test19,62B7,126.96448801576594,37.53755233608824,waypoint,1,6
6,17532,4071,5,test4,3BDE,126.99659589624753,37.53050977118765,waypoint,9,15
6,25483,5606,6,Depot,1,127.0311799,37.49156405,depot,0,15
